序号,代码,简称,事件类型,具体事项,交易日
86,code.603678,火炬电子,对外担保,"鉴于福建火炬电子科技股份有限公司(以下简称“火炬电子”、“公司”)为下属子公司提供的部分担保已到期,为满足其业务经营需要,公司于2025年7月18日与中国建设银行股份有限公司苏州城中支行签订《本金最高额保证合同》,为苏州雷度提供不超过人民币10,000万元的本金余额及主债权的利息及其他应付款项之和的连带责任担保;同日,公司与中国民生银行股份有限公司苏州分行签订《最高额保证合同》,为苏州雷度提供最高债权本金额人民币10,000万元及主债权的利息及其他应付款项之和的连带责任担保。上述担保均不存在反担保。",2025-07-22
87,code.603766,隆鑫通用,资产重组,重庆渝富资本运营集团有限公司将持有隆鑫通用动力股份有限公司15.52%的股份无偿划转至重庆渝富控股集团有限公司。,2025-07-22
88,code.603768,常青股份,股份质押,"公司股东吴应宏将持有的本公司股份1593万股质押给华西证券股份有限公司,质押起始日2025/7/17至质押到期日2026/7/16并于2025年07月17日办理质押登记手续。",2025-07-22
89,code.603773,沃格光电,对外担保,"为保障湖北宝昂生产经营需要,在年度担保计划额度内江西沃格光电集团股份有限公司(以下简称“沃格光电”或“公司”)新增为控股孙公司湖北宝昂向中国建设银行股份有限公司天门分行申请综合授信提供了总计人民币3,000万元的担保,湖北宝昂控股股东北京宝昂的其他少数股东湖北省嘉昂企业管理合伙企业(有限合伙)以其间接持有的湖北宝昂49%的股份对上述担保提供反担保,担保方式为保证担保。",2025-07-22
90,code.603773,沃格光电,对外担保,"为保障湖北宝昂日常经营需要的融资正常开展,在年度担保计划额度内公司控股子公司北京宝昂电子有限公司(以下简称“北京宝昂”)拟新增为其全资子公司湖北宝昂向湖北天门农村商业银行股份有限公司申请综合授信提供总计人民币1,000万元的担保,本次担保不存在反担保。",2025-07-22
91,code.605577,龙版传媒,资产重组,"根据公司募集资金投资项目的实施进度,为保证募集资金投资项目顺利推进,公司拟使用募集资金2,010.79万元向全资子公司黑龙江新华书店集团有限公司进行增资,新华书店集团向其全资子公司黑龙江省新华图书连锁经营有限公司增资2,010.79万元以具体实施“新华书店门店经营升级改造建设项目”之“新华书城门店经营升级改造建设项目”。",2025-07-22
92,code.605577,龙版传媒,资产重组,"根据公司募集资金投资项目的实施进度,为保证募集资金投资项目顺利推进,公司拟使用募集资金1800万元向全资子公司黑龙江新华书店集团有限公司进行增资以实施“龙版传媒综合服务平台项目”募投项目。增资后,公司对子公司黑龙江新华书店集团有限公司的持股比例仍为100%。",2025-07-22
93,code.688045,必易微,股份质押,"公司股东喻辉洁将持有的本公司股份40万股质押给深圳市中小担小额贷款有限公司,质押起始日2025年7月17日至质押到期日2026年7月18日并于2025年07月17日办理质押登记手续。",2025-07-22
94,code.688141,杰华特,资产重组,"杰华特微电子股份有限公司(以下简称“公司”)参股基金厦门汇杰私募股权投资基金合伙企业(有限合伙)(以下简称“汇杰私募”)拟以货币出资5,000万元对公司控股子公司无锡市宜欣科技有限公司(以下简称“无锡宜欣”、“标的公司”或“目标公司”)进行增资,占无锡宜欣增资后股权比例的12.8205%。本次增资事项完成后,公司直接持有无锡宜欣的持股比例为46.1538%。同时,公司拥有无锡宜欣3名董事席位中的2名,对无锡宜欣拥有重大事项决策权、影响管理层的任免,拥有对无锡宜欣的控制权,因此,本次增资事项不会导致公司合并报表范围发生变化。",2025-07-22
95,code.688455,科捷智能,资产重组,"科捷智能科技股份有限公司(以下简称“公司”)拟在新加坡投资设立科捷集团新加坡有限公司,投资金额为70万美元。",2025-07-22
96,code.688480,赛恩斯,资产重组,"赛恩斯环保股份有限公司拟投资设立山东龙立化学有限公司,以此为主体投资建设新项目。",2025-07-22
97,code.920075,柏星龙,资产重组,"深圳市柏星龙创意包装股份有限公司为推进全球化战略布局,基于欧洲市场拓展需求,通过子公司深圳市柏星龙产业投资控股有限公司,以自有资金人民币107.59万元(或等值港币、美元、欧元,以实际汇率为准,下同)在中国香港设立全资二级子公司。香港子公司定位为公司境外投资的通道公司,并作为公司开拓国际区域市场的销售服务中心。同时,公司通过香港二级子公司以自有资金人民币107.59万元在意大利米兰设立全资三级子公司,该子公司将作为公司欧洲区域业务运营中心。香港与意大利子公司将主要承担市场开发和贸易服务职能,通过建立本地化团队提高国际市场服务效率,强化国际市场业务渗透,增强属地化服务能力,并利用香港、米兰的区位优势提升公司品牌国际认知度,为公司全球化战略实施提供重要支撑。公司已于近日完成上述投资标的公司的注册登记手续。",2025-07-22
98,code.920100,三协电机,资产重组,"根据公司业务发展需要,公司全资孙公司新时代动力科技有限公司拟投资设立其全资子公司3X MOTION (VIETNAM) TECHNOLOGIES COMPANY LIMITED(三协电机(越南)有限公司),注册资本为250万美元。(拟设立公司的具体信息最终以当地登记机关核定为准)。",2025-07-22
1,code.000048,京基智农,股份质押,"公司股东京基集团有限公司将持有的本公司股份339.9851万股,204.9049万股,310.0149万股共计854.9049万股分3笔质押给郭鉴慷,质押起始日2025/07/21至办理解除质押登记手续之日并于2025年07月21日办理质押登记手续。",2025-07-23
2,code.000048,京基智农,股份质押,"公司股东深圳市京基时代实业有限公司将持有的本公司股份445.0951万股质押给郭鉴慷,质押起始日2025/07/21至办理解除质押登记手续之日并于2025年07月21日办理质押登记手续。",2025-07-23
3,code.000560,我爱我家,对外担保,"公司全资子公司昆百大家电因经营发展需要,向中国工商银行股份有限公司昆明南屏支行(以下简称“工商银行昆明南屏支行”)申请贷款额度人民币2,800万元整,并已获得批复,授信有效期为12个月。在上述授信额度内,根据实际需求,昆百大家电于2025年7月21日与工商银行昆明南屏支行签订了《流动资金借款合同》,借款金额为1,999万元,借款期限为12个月,自实际提款日起算(分次提款的,自首次提款日起算)。为了保证工商银行昆明南屏支行债权的实现,公司于同日与工商银行昆明南屏支行签订《最高额保证合同》,为昆百大家电提供保证担保,公司全资子公司昆明百货大楼商业有限公司(以下简称“昆百大商业”)及全资子公司昆明百大集团野鸭湖房地产开发有限公司(以下简称“野鸭湖房地产公司”)于同日与工商银行昆明南屏支行分别签订《最高额抵押合同》,为昆百大家电提供抵押担保。",2025-07-23
4,code.000589,贵州轮胎,股份质押,"公司股东贵阳市工业投资有限公司将持有的本公司股份2348.5万股质押给西南证券股份有限公司,质押起始日2025/07/21至质押到期日2026/07/21并于2025年07月21日办理质押登记手续。",2025-07-23
5,code.000659,珠海中富,资产重组,"珠海中富实业股份有限公司在新疆乌鲁木齐市经济技术开发区注册设立全资子公司新疆富粤食品科技有限公司,注册资本4000万人民币。为加强在新疆地区的发展,拟购买工业厂房,建设饮料灌装生产线及配套PET瓶、瓶胚等饮料包装生产线项目。",2025-07-23
6,code.000659,珠海中富,资产重组,"珠海中富实业股份有限公司全资子公司沈阳中富瓶胚有限公司已在辽宁省沈阳市沈阳经济技术开发区注册设立全资孙公司沈阳富粤食品科技有限公司,注册资本500万人民币。为加强在东北地区的发展,沈阳瓶胚拟对沈阳富粤增资1000万元,购买建设拉罐灌装生产线。沈阳富粤向广州拓普特轻工机械有限公司购买一级反渗透系统、前处理系统、包装设备等,建设拉罐灌装生产线。上述设备合同总价款为人民币2,709万元(含税),设备款项分期支付。",2025-07-23
7,code.000659,珠海中富,资产重组,"珠海中富实业股份有限公司全资子公司杭州中富容器有限公司已在上海市嘉定区注册设立全资孙公司上海富粤食品科技有限公司,注册资本1000万人民币。为加强在华东地区的发展,杭州容器拟对上海富粤增资3000万元,用于租用工业厂房,购买建设无菌灌装生产线。上海富粤向江苏新美星包装机械股份有限公司购买二级反渗透水处理生产线、饮料前处理生产线、PET瓶装饮料无菌型灌装吹消灌旋一体机及辅助设备等,用于建设ODM饮料无菌灌装线项目。上述设备合同总价款为人民币3,500万元(含税),设备款项分期支付。",2025-07-23
8,code.000659,珠海中富,对外担保,"因生产经营需要,珠海中富实业股份有限公司(以下简称“公司”)全资子公司河南中富饮料有限公司(以下简称“河南饮料”)拟向银行申请流动资金贷款960万元,河南饮料拟以名下不动产为上述贷款提供抵押,公司为河南饮料提供连带责任保证担保。",2025-07-23
9,code.000819,岳阳兴长,股份质押,"公司股东湖南长炼兴长集团有限责任公司将持有的本公司股份300万股质押给中国建设银行股份有限公司岳阳市分行,质押起始日2025年7月17日至解除质押之日并于2025年07月17日办理质押登记手续。",2025-07-23
10,code.000819,岳阳兴长,股份质押,"公司股东湖南长炼兴长企业服务有限公司将持有的本公司股份330万股质押给中国建设银行股份有限公司岳阳市分行,质押起始日2025年6月20日至解除质押之日并于2025年06月20日办理质押登记手续。",2025-07-23
11,code.000881,中广核技,资产重组,"中广核核技术发展股份有限公司的控股股东中广核核技术应用有限公司拟以现金方式向公司的全资子公司中广核医疗科技(绵阳)有限公司增资5亿元人民币,用于医疗科技公司开展质子医疗的研发项目和未来的经营发展,增资完成后核技术公司将持有医疗科技公司44.13%的股权,公司持有55.87%的股权,医疗科技公司仍属于公司的控股子公司。",2025-07-23
12,code.000933,神火股份,资产重组,"为积极响应国家“碳达峰碳中和”战略部署,培育公司在能源供应领域新业务、新产能,公司决定与清洁能源产业技术研究院(以下简称“清能院”)、河南鑫泰清洁能源科技有限公司(以下简称“河南鑫泰”)共同设立合资公司河南省深地清洁能源有限公司(暂定名,最终名称以有关部门的批复文件及市场监管部门登记核准名称为准)。合资公司注册资本为500.00万元,其中,清能院认缴出资200.00万元、河南鑫泰认缴出资150.00万元、公司认缴出资150.00万元。",2025-07-23
13,code.000999,华润三九,对外担保,"为支持昆药集团旗下全资及控股子公司生产经营及业务发展,2025年7月21日,在上述批准范围内昆药集团发生如下担保。",2025-07-23
14,code.001323,慕思股份,对外担保,"为满足公司生产经营活动的需要,慕思健康睡眠股份有限公司(以下简称“慕思股份”或“公司”)于2025年7月18日与中国民生银行股份有限公司东莞分行(以下简称“民生银行”或“融资行”)签署了《最高额保证合同》,为全资子公司东莞慕思寝具销售有限公司(以下简称“慕思销售”)向融资行申请的授信融资提供连带责任保证担保。",2025-07-23
15,code.002006,精工科技,资产重组,"浙江精工集成科技股份有限公司根据浙江省经济和信息化厅、浙江省财政厅联合下发的《关于新一批浙江省制造业创新中心培育建设相关通知》(浙经信高新〔2025〕74号)要求,为加快“浙江省高性能碳纤维装备及复合材料制造业创新中心”的发展,作为牵头单位,按照“公司+联盟”的组建模式,以货币出资方式与精工(武汉)复合材料有限公司、浙江精工碳材科技有限公司、深圳协同创新高科技发展有限公司(以下简称协同高科)和浙江中鹰新材料有限公司在浙江省绍兴市柯桥区共同出资2,500万元设立合资公司——浙江华创碳纤维科技有限公司(其中,公司出资1,000万元,占注册资本40%;精工武汉复材出资500万元,占注册资本20%;精工碳材出资450万元,占注册资本18%;协同高科出资300万元,占注册资本12%;中鹰新材料出资250万元,占注册资本10%),并于近日完成工商注册登记手续。",2025-07-23
16,code.002074,国轩高科,对外担保,"根据经营发展需要,国轩高科股份有限公司(以下简称“公司”)与银行等金融机构于近日签署相关对外担保合同,为公司全资或控股子公司融资授信、融资租赁等提供对外担保。",2025-07-23
17,code.002160,常铝股份,对外担保,"为保证上海朗脉融资事项的顺利进行,公司于2025年7月21日与上海银行股份有限公司浦西支行(以下简称“上海银行”)签订了《最高额保证合同》,担保额度合计为人民币8,000万元,公司为上海朗脉向上海银行申请的银行借款提供连带责任担保。",2025-07-23
18,code.002168,*ST惠程,对外担保,"近日,公司全资子公司重庆惠程未来向重庆银行股份有限公司璧山支行申请综合授信额度1,500万元,由公司及间接控股股东绿发实业集团为上述授信事项提供连带责任保证担保,并签署《保证合同》。同时,公司全资子公司豪琛投资管理(上海)有限公司(以下简称“豪琛投资”)以其持有的位于上海市闵行区申虹路的4套房产和4处地下车位为上述授信事项提供抵押担保,并签署《抵押合同》。",2025-07-23
19,code.002236,大华股份,对外担保,"公司与上海浦东发展银行股份有限公司杭州分行(以下简称“浦发杭州分行”)签订了《最高额保证合同》(编号:ZB9511202500000040),约定公司为子公司浙江大华科技有限公司与浦发杭州分行在2025年7月22日起至2028年7月21日期间签署的融资业务合同(以下简称“主合同”)项所负债务提供连带责任保证。前述担保债权之最高限额为人民币20,000万元,包括利息等相关费用。保证期间为主合同项下债务履行期限届满之日起三年,每一具体业务合同项下的保证期间单独计算。",2025-07-23
20,code.002236,大华股份,对外担保,"公司为子公司浙江大华系统工程有限公司在《授信业务总协议》(编号:2025年总协字014号)项下所负担所有债务承担连带责任保证,担保债权最高本金余额为人民币5,000万元和相关利息等费用。前述保证期间均为《最高额保证合同》生效之日起至授信业务协议下每笔债务履行期限届满之日起三年。",2025-07-23
21,code.002236,大华股份,对外担保,"控股子公司浙江华睿科技股份有限公司(以下简称“华睿科技”)的全资孙公司Huaray Technology Korea Company Limited(简称“华睿韩国”)与客户签署了设备销售协议,根据客户要求,华睿科技就近期业务合作事项提供履约担保,合计担保金额为2,935.6万韩元,担保期限为华睿韩国在各业务协议项下的责任义务履行完毕为止,每一业务合同项下的具体保证期间单独计算。",2025-07-23
22,code.002236,大华股份,对外担保,"公司为子公司浙江大华科技有限公司在《授信业务总协议》(编号:2025年总协字013号)项下所负担所有债务承担连带责任保证,担保债权最高本金余额为人民币50,000万元和相关利息等费用。",2025-07-23
23,code.002240,盛新锂能,股份质押,"公司股东深圳市盛屯汇泽贸易有限公司将持有的本公司股份320万股,430万股共计750万股分2笔质押给厦门农村商业银行股份有限公司思明支行,质押起始日2025年7月22日至办理解除质押登记手续之日止并于2025年07月22日办理质押登记手续。",2025-07-23
24,code.002244,滨江集团,资产重组,"2025年7月22日,公司竞得杭政储出[2025]92号地块的国有建设用地使用权。",2025-07-23
25,code.002275,桂林三金,对外担保,"近日,宝船生物和白帆生物分别向招商银行股份有限公司上海分行(以下简称“招商银行上海分行”)申请了人民币3,000万元和人民币5,000万元的授信额度,公司与招商银行上海分行签订了合同编号分别为“121XY250620T000292”和“121XY250624T000166”的《最高额不可撤销担保书》,公司同意为宝船生物、白帆生物分别在2025年7月23日到2028年7月22日、2025年7月23日到2027年7月22日期间内向招商银行上海分行在授信额度内申请提供的一系列债权提供连带责任保证担保。",2025-07-23
26,code.002302,西部建设,对外担保,"2025年7月21日,公司与招商银行股份有限公司成都分行签署了《最高额不可撤销担保书》,公司为矿业公司向招商银行股份有限公司成都分行的授信业务提供担保,最高担保金额为3,000万元。本次担保额度在公司对矿业公司的担保授信额度范围之内。",2025-07-23
27,code.002505,鹏都农牧,对外担保,"为了满足公司子公司安徽安欣(涡阳)牧业发展有限公司(以下简称“安欣牧业”)和广西安欣牧业有限公司(以下简称“广西安欣”)的经营活动需要,公司与安徽涡阳农村商业银行股份有限公司和河池市小微企业融资担保有限责任公司分别签订《最高额保证合同》和《最高额保证反担保合同》,为安欣牧业和广西安欣的融资提供3,990万元的连带责任保证担保和700万元的连带责任保证反担保。",2025-07-23
28,code.002537,海联金汇,对外担保,"2025年7月21日,公司与中国农业银行股份有限公司上海长三角一体化示范区支行(以下简称“农业银行”)签订了《最高额保证合同》,同意为上海和达汽车配件有限公司(以下简称“上海和达”)与农业银行形成的债权提供连带责任保证,担保的债权金额为人民币10,800万元,所保证的主债权期限为2025年7月21日至2026年6月12日。保证担保的范围包括上海和达在主合同项下应偿付的借款本金、利息、罚息、复利、违约金、损害赔偿金、按《中华人民共和国民事诉讼法》有关规定确定由上海和达和公司承担的迟延履行债务利息和迟延履行金、保全保险费以及诉讼(仲裁)费、律师费等农业银行实现债权的一切费用。保证方式为连带责任保证。",2025-07-23
29,code.002537,海联金汇,对外担保,"2025年7月22日,公司与浦发银行签订了《最高额保证合同》,同意为青岛海联金汇精密机械制造有限公司(以下简称“青岛精密”)与浦发银行形成的债权提供连带责任保证,担保的债权金额为人民币3,000万元,所保证的主债权期限为2025年7月21日至2026年6月30日。保证担保的范围除了本合同所述之主债权,还及于由此产生的利息(本合同所指利息包括利息、罚息和复利)、违约金、损害赔偿金、手续费及其他为签订或履行本合同而发生的费用、以及浦发银行实现担保权利和债权所产生的费用(包括但不限于诉讼费、律师费、差旅费等),以及根据主合同经浦发银行要求青岛精密需补足的保证金。保证方式为连带责任保证。",2025-07-23
30,code.002537,海联金汇,对外担保,"2025年7月22日,公司与上海浦东发展银行股份有限公司青岛分行(以下简称“浦发银行”)签订了《最高额保证合同》,同意为青岛海联金汇汽车零部件有限公司(以下简称“青岛海联金汇”)与浦发银行形成的债权提供连带责任保证,担保的债权金额为人民币5,000万元,所保证的主债权期限为2025年7月21日至2026年6月30日。保证担保的范围除了本合同所述之主债权,还及于由此产生的利息(本合同所指利息包括利息、罚息和复利)、违约金、损害赔偿金、手续费及其他为签订或履行本合同而发生的费用、以及浦发银行实现担保权利和债权所产生的费用(包括但不限于诉讼费、律师费、差旅费等),以及根据主合同经浦发银行要求青岛海联金汇需补足的保证金。保证方式为连带责任保证。",2025-07-23
31,code.002560,通达股份,对外担保,"公司为通达新材料拟开立并承兑用于支付货款的商业承兑汇票提供票面保证,为商业承兑汇票项下付款责任承担连带责任保证,占用担保额度不超过1,000万元。河南浩达铝业有限公司持有通达新材料40%的股权,就上述担保债权按照其持股比例为公司提供反担保。",2025-07-23
32,code.002731,萃华珠宝,对外担保,"沈阳萃华金银珠宝股份有限公司(以下简称“公司”或“本公司”)控股孙公司湖北磷氟锂业有限公司(以下简称为“磷氟锂业”)为经营需要分别向汉口银行股份有限公司宜昌分行和中国光大银行股份有限公司宜昌分行申请授信,授信额度分别为贰仟万元人民币与叁仟万元人民币,并由公司对上述授信以本金人民币壹仟零贰拾万元和本金壹仟伍佰叁拾万元及与该本金相关的利息、违约金、损害赔偿及有关费用为限提供连带责任担保。",2025-07-23
33,code.002805,丰元股份,对外担保,"近日,公司、公司全资子公司山东丰元锂能科技有限公司(以下简称“丰元锂能”)与中国银行股份有限公司枣庄台儿庄支行(以下简称“中国银行台儿庄支行”)签署《保证合同》,公司及丰元锂能共同为公司控股孙公司山东丰元汇能新能源材料有限公司(以下简称“丰元汇能”)在中国银行台儿庄支行办理人民币8,000万元流动资金借款所形成的债务提供连带责任保证。",2025-07-23
34,code.002862,实丰文化,对外担保,"近日,实丰文化创投(深圳)有限公司(以下简称“实丰创投”)就实丰智能与华夏银行的融资事项提供了连带责任保证。实丰创投以其自有资产为主合同债务提供抵押担保。",2025-07-23
35,code.002967,广电计量,资产重组,广电计量检测集团股份有限公司投资收购北京金源动力信息化测评技术有限公司55%股权。,2025-07-23
36,code.003028,振邦智能,资产重组,"为落实公司整体战略规划,进一步完善全球化布局,加速海外业务拓展并提升客户响应效率,公司拟使用自有资金100万美元在新加坡投资设立全资子公司“HOMEWOOD CONTROL PTE.LTD.”,拟使用自有资金1,000万美元,通过全资子公司振邦智能科技(香港)有限公司及新设的新加坡子公司共同在印尼设立孙公司“PT HOMEWOOD CONTROL SOLUTIONS”,以建设印尼生产基地。",2025-07-23
37,code.300014,亿纬锂能,股份质押,"公司股东刘金成将持有的本公司股份1820万股,480万股,1400万股共计3700万股分3笔质押给中信证券股份有限公司,质押起始日2025/07/22至质押解除日2028/07/22并于2025年07月22日办理质押登记手续。",2025-07-23
38,code.300014,亿纬锂能,股份质押,"公司股东西藏亿纬控股有限公司将持有的本公司股份1340万股质押给华福证券有限责任公司,质押起始日2025/07/22至质押解除日2026/07/10并于2025年07月22日办理质押登记手续。",2025-07-23
39,code.300063,天龙集团,对外担保,"近日,广东天龙科技集团股份有限公司(以下简称“公司”“天龙集团”)之全资子公司广东天龙油墨有限公司(以下简称“广东天龙”)与中信银行股份有限公司肇庆分行(以下简称“中信银行肇庆分行”)签署了《最高额保证合同》,约定由广东天龙为公司向中信银行肇庆分行履行债务提供最高额连带责任保证担保。担保的最高额债权本金为2,000万元,保证期间为主合同项下债务履行期限届满之日起三年。",2025-07-23
40,code.300103,达刚控股,对外担保,"近日,公司控股子公司恩科星与中国农业银行股份有限公司嘉兴分行签订了《流动资金借款合同》,公司作为保证人为该项借款事项提供连带责任保证,与中国农业银行股份有限公司嘉兴分行签署了《保证合同》。同时,恩科星另一股东陈可以连带保证的方式向达刚控股提供反担保保证,并与公司签署了《反担保合同》。",2025-07-23
41,code.300182,捷成股份,股份质押,"公司股东徐子泉将持有的本公司股份1300万股质押给俞某,质押起始日2025/07/21至办理解除质押登记之日止并于2025年07月21日办理质押登记手续。",2025-07-23
42,code.300184,力源信息,对外担保,"在上述已批准的担保额度项下,近日公司与宁波银行股份有限公司深圳分行签订了《最高额保证合同》,为全资子公司深圳市鼎芯无限科技有限公司(下称“鼎芯无限”)向银行申请综合授信提供连带责任保证担保。同时,鼎芯无限对本公司提供了等值的反担保。",2025-07-23
43,code.300255,常山药业,对外担保,"2025年7月21日,公司与中国农业银行股份有限公司正定县支行(以下简称“农业银行”)签订了《保证合同》,公司为凯库得与农业银行签订的固定资产借款合同下772.2万元的本金及利息提供连带责任",2025-07-23
44,code.300327,中颖电子,资产重组,"本次权益变动为威朗国际集团有限公司将其持有的中颖电子股份有限公司31,718,000股无限售流通股、WIN CHANNEL LIMITED将其持有的上市公司16,767,396股无限售流通股,合计48,485,396股无限售流通股(占上市公司总股本的比例为14.20%,占剔除上市公司回购专用账户中股份数后总股本的14.28%),通过协议转让的方式转让给上海致能工业电子有限公司。同时,威朗国际集团有限公司将其持有的中颖电子股份有限公司31,392,176股股份(占上市公司总股本的9.20%,占剔除中颖电子股份有限公司回购专用账户中股份数后总股本的9.25%)对应的全部表决权委托给上海致能工业电子有限公司行使,委托期限为本次权益变动之股份过户日起24个月。",2025-07-23
45,code.300344,*ST立方,资产重组,"本次可能被司法强制执行的标的物为立方数科股份有限公司(以下简称“公司”)控股股东合肥岭岑科技咨询合伙企业(有限合伙)持有的公司无限售条件流通股32,000,000股,占其持有公司股份总数的21.50%,占公司股份总数的4.99%。",2025-07-23
46,code.300434,金石亚药,资产重组,"根据公司发展战略和公司全资二级子公司浙江亚克药业有限公司的业务发展需要,公司全资一级子公司海南亚洲制药股份有限公司拟以自有资金人民币2亿元向亚克药业增资。本次增资完成后,亚克药业的注册资本由人民币1.5亿元增加至3.5亿元。",2025-07-23
47,code.300567,精测电子,对外担保,"为满足子公司上海精测日常经营发展需要,公司近日与广发银行股份有限公司上海分行(以下简称“广发银行”)签订编号为“(2025)沪银最保字第GS0035号”,约定公司为上海精测向广发银行于保证额度有效期内发生的一系列授信业务合同提供连带责任保证担保。",2025-07-23
48,code.300567,精测电子,对外担保,"为满足子公司苏州精材日常经营发展需要,公司近日与中国银行股份有限公司苏州吴中支行(以下简称“中国银行”)签订编号为“中银(吴中中小)保字(2025)第480号)”的《最高额保证合同》,约定公司为苏州精材向中国银行于保证额度有效期内发生的一系列授信业务合同提供连带责任保证担保。",2025-07-23
49,code.300567,精测电子,对外担保,"为满足子公司上海精积微日常经营发展需要,公司近日与南京银行股份有限公司上海分行(以下简称“南京银行”)签订编号为“Ec136502506240023330”的《合同书》,约定公司为上海精积微向南京银行于保证额度有效期内发生的一系列授信业务合同提供连带责任保证担保。",2025-07-23
50,code.300589,江龙船艇,对外担保,"保证人的保证责任期间为自本担保书生效之日起至《授信协议》项下每笔贷款或其他融资或贵行受让的应收账款债权的到期日或每笔垫款的垫款日另加三年。任一项具体授信展期,则保证期间延续至展期期间届满后另加三年止。",2025-07-23
51,code.300589,江龙船艇,对外担保,"近日,公司的参股子公司澳龙船艇科技有限公司(以下简称“澳龙船艇”或“债务人”)向招商银行股份有限公司珠海分行(以下简称“招商银行珠海分行”或“债权人”)申请授信(不超过5,000万元),公司于2024年8月14日与招商银行珠海分行签订了《最高额不可撤销担保书》,合同编号:755XY240809T00001702,为上述事项提供最高不超过2,450万元的关联担保。公司于2024年8月14日与招商银行珠海分行签订了《最高额不可撤销担保书》,合同编号:755XY240809T00001702,于2025年7月23日失效。",2025-07-23
52,code.300663,科蓝软件,资产重组,"王安京先生因与刘壮借款合同纠纷,烟台市莱山区人民法院依裁决处置王安京先生持有公司3,100,000股股份以清偿到期债务。",2025-07-23
53,code.300715,凯伦股份,资产重组,"公司于近日收到凯伦控股、钱林弟先生和绿融投资的通知,获悉凯伦控股、钱林弟先生、绿融投资与苏州矽彩光电、陈显锋先生签订了《股份转让协议》,约定凯伦控股、钱林弟先生、绿融投资拟通过协议转让方式向苏州矽彩光电、陈显锋先生合计转让公司股份53,634,200股,占公司总股本的14.4852%。其中,凯伦控股拟转让数量为25,100,000股,占公司总股本的6.7788%,钱林弟拟转让数量为6,000,000股,占公司总股本的1.6204%,绿融投资拟转让数量为22,534,200股,占公司总股本的6.0859%。苏州矽彩光电受让34,134,200股,占公司总股本的9.2187%,陈显锋先生受让19,500,000股,占公司总股本的5.2664%。",2025-07-23
54,code.300724,捷佳伟创,对外担保,"公司为子公司常州捷佳创、捷佳创智能在开展应收款项保理业务中产生的应履行义务提供连带责任保证,担保范围包括子公司在保理合同项下应向保理公司支付的回购款、保理融资款回款、手续费(如有)、融资利息(如有)、违约金及其它款项等,担保期限及具体担保金额以与保理公司机构签订的协议为准。",2025-07-23
55,code.300737,科顺股份,资产重组,"科顺防水科技股份有限公司第四届董事会第十五次会议审议通过了《关于与专业投资机构共同投资设立产业并购基金暨关联交易的议案》,为积极探索公司第二增长曲线,加快公司战略转型升级,进一步促进公司的持续快速发展,同意子公司珠海横琴逸东投资合伙企业(有限合伙)作为有限合伙人,以自有资金出资人民币24,000.00万元,与专业投资机构暨公司关联方广东顺德高新创业投资管理有限公司、广东顺德科创管理集团有限公司共同设立产业并购基金。",2025-07-23
56,code.300738,奥飞数据,资产重组,"为加快广州南沙数据中心项目的建设,助力全资子公司广州奥融科技有限公司的经营发展,奥融科技拟通过增资扩股的方式引入投资方广州天泽奥融股权投资基金合伙企业(有限合伙)。天泽奥融拟对奥融科技增资人民币460,000,000元,认购其新增注册资本人民币15,333,333元,剩余部分计入资本公积,而广东奥飞数据科技股份有限公司放弃本次增资的优先认购权。本次增资完成后,奥融科技的注册资本由人民币50,000,000元增至人民币65,333,333元,公司持有奥融科技的股权比例由100.00%变更为76.53%,奥融科技由公司全资子公司变更为公司控股子公司,但公司合并报表范围不会发生变化。",2025-07-23
57,code.300769,德方纳米,对外担保,"近日,公司全资子公司曲靖市沾益区德方纳米科技有限公司(以下简称“沾益德方”)向中国银行股份有限公司曲靖市分行、上海浦东发展银行股份有限公司昆明分行、中信银行股份有限公司曲靖分行申请了固定资产贷款,公司与中国银行股份有限公司曲靖市分行、上海浦东发展银行股份有限公司昆明分行、中信银行股份有限公司曲靖分行签订了《中国银行业协会银团贷款保证合同》《固定资产贷款质押合同》,约定公司为沾益德方在上述银行办理的人民币25,000.00万元固定资产贷款业务提供总额为人民币25,000.00万元整的保证担保,公司以其持有的沾益德方100%股权为前述贷款提供质押担保,沾益德方将其位于曲靖市沾益区的不动产(不动产权证号:云(2024)沾益区不动产权第0004349号)抵押给上述银行。",2025-07-23
58,code.300787,海能实业,股份质押,"公司股东周洪亮将持有的本公司股份3829万股质押给国泰海通证券股份有限公司,质押起始日2025/07/21至办理解除质押登记之日为止并于2025年07月21日办理质押登记手续。",2025-07-23
59,code.300890,翔丰华,资产重组,"根据公司战略规划与经营发展的需要,为满足未来的业务发展需要,上海市翔丰华科技股份有限公司拟以自有资金认缴出资额600.00万元人民币投资设立四川翔展振华新材料科技有限公司,持股比例为60%。四川翔展成为公司控股子公司,纳入公司合并财务报表范围。",2025-07-23
